CounterPrefix,CounterName,CounterType,CounterGroup,SignalWidth,Implementation,InstanceNum,Description,Note
,ACTCommandsReceived_Sched{N},,,,,8,Number of DDR activate (ACT) commands issued per scheduler,
,AccessQueueOccupation_TU-FS{N}TU{N},,,,,4,Average occupancy of texture memory access queue,
,AddressALUBusyCycles_TU-FS{N}TU{N},,,,,4,Cycles address ALU is busy computing texture coordinates,
,AddressCalculationFinished_TU-FS{N}TU{N},,,,,4,Number of completed texture address calculations,
,AllBanksPrechargedCycles_Sched{N},,,,,8,Cycles when all DDR banks are in precharged state,
,AllocateFailed_CW-SU{N},,,,,4,Number of failed allocations,
,AllocateFailed_ZST-SU{N},,,,,4,Number of failed allocations,
,AllocateOK_CW-SU{N},,,,,4,Number of successful allocations,
,AllocateOK_ZST-SU{N},,,,,4,Number of successful allocations,
,AnisotropyRatio_TU-FS{N}TU{N},,,,,4,Average anisotropy ratio for texture sampling,
,AvgShadeLatency_StC,,,,,,Average shadelatency_stc per cycle,
,AvgVtxSentThisCycle_SL{N},,,,,1,Average vertices sent per cycle,
,BackFacingTriangles_TS,,,,,,Number of triangles with back-face orientation,
,Batches_CP,,,,,,Total number of rendering batches/draw calls processed,
,BilinearSamples_TU-FS{N}TU{N},,,,,4,Number of texture samples using bilinear filtering,
,Bit Blits_CP,,,,,,Number of bit-blit operations,
,BlendedFragments_CW-SU{N},,,,,4,Number of fragments with blending operations applied,
,BlockCommands_ShDX-FS{N},,,,,4,Number of block commands issued to stop shader execution,
,BlockedInstructions_ShDX-FS{N},,,,,4,Number of shader instructions unable to execute due to stalls,
,BlockedThreads_ShF-FS{N},,,,,4,Number of shader threads blocked from executing,
,Blocks_ShF-FS{N},,,,,4,Number of times shader execution was blocked,
,BytesRead_CP,,,,,,Total bytes read via CPU-to-GPU commands,
,BytesWritten_CP,,,,,,Total bytes written via CPU-to-GPU commands,
,CacheLineWARStall_CW-SU{N},,,,,4,Number of cycles or events where execution is stalled,
,CacheLineWARStall_ZST-SU{N},,,,,4,Number of cycles or events where execution is stalled,
,ChannelReq_ReadStallCycles_MC,,,,,,Number of cycles or events where execution is stalled,
,ChannelReq_WriteStallCycles_MC,,,,,,Number of cycles or events where execution is stalled,
,Clear_CP,,,,,,Number of clear operations processed,
,ClientReadRowHit_ColorWrite_Sched{N},,,,,8,Read operations that access an already-open memory page (same row),
